DGP,Intercept,Strength,Seed,BaseRate,FracHit,Metric,USFG,USFG_gap_raw
logistic,-3.6,0.4,2,0.07894228481167327,0.2116,decileZ(NRC),0.2889505172295177,0.2889505172295177
logistic,-3.6,0.4,2,0.07894228481167327,0.2116,logit-frac,0.10306978524349183,0.19089470258693586
logistic,-3.6,0.4,3,0.15488175029405504,0.2116,Comp_prob,0.1747459107355018,0.040152896364916826
logistic,-3.6,0.4,3,0.15488175029405504,0.2116,NRC,0.0681922418671177,0.173801656804778
logistic,-3.6,0.4,3,0.15488175029405504,0.2116,decileZ(Comp),0.08680220455821476,0.08680220455821476
logistic,-3.6,0.4,3,0.15488175029405504,0.2116,decileZ(NRC),0.22478996395585935,0.22478996395585935
logistic,-3.6,0.4,3,0.15488175029405504,0.2116,logit-frac,0.08671208109880721,0.24925573338882323
logistic,-3.6,0.4,4,0.1384942245359377,0.1996,Comp_prob,0.09629751392096446,0.02061290731950992
logistic,-3.6,0.4,4,0.1384942245359377,0.1996,NRC,0.10720277057073548,0.2602170564808347
logistic,-3.6,0.4,4,0.1384942245359377,0.1996,decileZ(Comp),0.04044237461395665,0.04044237461395665
logistic,-3.6,0.4,4,0.1384942245359377,0.1996,decileZ(NRC),0.21697037223260068,0.21697037223260068
logistic,-3.6,0.4,4,0.1384942245359377,0.1996,logit-frac,0.07041614925254709,0.14340542892763286
logistic,-3.6,0.4,5,0.10621506306372253,0.2,Comp_prob,0.07494992412707782,0.012102517852023043
logistic,-3.6,0.4,5,0.10621506306372253,0.2,NRC,0.06922223521564966,0.11260507934270603
logistic,-3.6,0.4,5,0.10621506306372253,0.2,decileZ(Comp),0.022250006249886146,0.022250006249886146
logistic,-3.6,0.4,5,0.10621506306372253,0.2,decileZ(NRC),0.18388748009903527,0.18388748009903527
logistic,-3.6,0.4,5,0.10621506306372253,0.2,logit-frac,0.009749690519113105,0.020847232184945108
logistic,-3.6,0.4,6,0.1411009934381478,0.2,Comp_prob,0.12478871710292287,0.02689183423419575
logistic,-3.6,0.4,6,0.1411009934381478,0.2,NRC,0.019800806516770793,0.03807631227823727
logistic,-3.6,0.4,6,0.1411009934381478,0.2,decileZ(Comp),0.062253815533168264,0.062253815533168264
logistic,-3.6,0.4,6,0.1411009934381478,0.2,decileZ(NRC),0.19816764802910172,0.19816764802910172
logistic,-3.6,0.4,6,0.1411009934381478,0.2,logit-frac,0.08057898798824965,0.18874991798429908
logistic,-3.6,0.4,7,0.0866990121183081,0.1884,Comp_prob,0.03362579964327457,0.004675511621598308
logistic,-3.6,0.4,7,0.0866990121183081,0.1884,NRC,0.15949928031330085,0.15745648486353936
logistic,-3.6,0.4,7,0.0866990121183081,0.1884,decileZ(Comp),0.023508056507711747,0.023508056507711747
