Dataset,Variant,Method,Model,K,Comp,Suff,CompRandom,SuffRandom,Comp_beats_random
TAIWAN,prob,SHAP,M4,12,0.0531825691293925,-0.006946866019628942,0.014374135888047021,0.009925087978713236,True
TAIWAN,prob,SHAP,M5,2,0.047583707850426434,-0.007503387837670744,-0.0006920216470216473,0.046341979671069566,True
TAIWAN,prob,SHAP,M5,5,0.05649767486657947,-0.014874098131433129,0.0011629178392180393,0.03341211946422845,True
TAIWAN,prob,SHAP,M5,7,0.05882499212725088,-0.012224048562347888,0.003290596452320187,0.025971858734214037,True
TAIWAN,prob,SHAP,M5,9,0.056374152869917454,-0.012240926518104971,0.007351760796961571,0.019286034311517142,True
TAIWAN,prob,SHAP,M5,12,0.053059919292107224,-0.006057628990150988,0.014850628565374792,0.010537410913158055,True
TAIWAN,prob,LIME,M1,2,0.052995441141334594,0.017593168734398205,0.006741605969896227,0.06132027506852319,True
TAIWAN,prob,LIME,M1,5,0.08110915156512055,-0.01129455131769646,0.014494389000548835,0.05260940191749796,True
TAIWAN,prob,LIME,M1,7,0.07751260243868455,-0.011918532524839974,0.01918216662280611,0.04507396931307449,True
TAIWAN,prob,LIME,M1,9,0.0777301107669482,-0.011294530415325426,0.02351161395821873,0.03716591540101217,True
TAIWAN,prob,LIME,M1,12,0.07302949711604742,-0.009018815479241311,0.03292951017173073,0.026674199592564035,True
TAIWAN,prob,LIME,M2,2,0.03807472298620269,-0.0033522757734172045,-0.0007530926589581668,0.04665919750620287,True
TAIWAN,prob,LIME,M2,5,0.05282769798813388,-0.012076840128283948,0.0014184493047634987,0.033705272279090426,True
TAIWAN,prob,LIME,M2,7,0.057212366899941115,-0.01466276205284521,0.0034277465221994137,0.02637910786987959,True
TAIWAN,prob,LIME,M2,9,0.058773866950999946,-0.016881957961712032,0.007699089310520321,0.019391154339336934,True
TAIWAN,prob,LIME,M2,12,0.05526436381507665,-0.01581917362706736,0.01498924760759428,0.010407652312897881,True
TAIWAN,prob,LIME,M3,2,0.03807472298620269,-0.0033522757734172045,-0.0007530926589581668,0.04665919750620287,True
TAIWAN,prob,LIME,M3,5,0.05282769798813388,-0.012076840128283948,0.0014184493047634987,0.033705272279090426,True
TAIWAN,prob,LIME,M3,7,0.057212366899941115,-0.01466276205284521,0.0034277465221994137,0.02637910786987959,True
TAIWAN,prob,LIME,M3,9,0.058773866950999946,-0.016881957961712032,0.007699089310520321,0.019391154339336934,True
TAIWAN,prob,LIME,M3,12,0.05526436381507665,-0.01581917362706736,0.01498924760759428,0.010407652312897881,True
TAIWAN,prob,LIME,M4,2,0.037738635988440364,-0.002375072369817644,-0.0008723637839315188,0.045953367777088715,True
TAIWAN,prob,LIME,M4,5,0.051014829941559585,-0.01098805986950174,0.0008387627192958575,0.03289572668773326,True
TAIWAN,prob,LIME,M4,7,0.0553271833374165,-0.012948454092722387,0.0028769524497747625,0.025372474905390106,True
TAIWAN,prob,LIME,M4,9,0.0553316911556758,-0.013494306378532201,0.006767779625124604,0.018701386098109653,True
TAIWAN,prob,LIME,M4,12,0.05553859229851514,-0.012870926671195776,0.014374135888047021,0.009925087978713236,True
TAIWAN,prob,LIME,M5,2,0.03833513736817986,-0.0007993656434118748,-0.0006920216470216473,0.046341979671069566,True
TAIWAN,prob,LIME,M5,5,0.04884822553489357,-0.009225018173921854,0.0011629178392180393,0.03341211946422845,True
TAIWAN,prob,LIME,M5,7,0.05222957679396495,-0.012272604188416154,0.003290596452320187,0.025971858734214037,True
TAIWAN,prob,LIME,M5,9,0.05086190535221249,-0.014151516618207098,0.007351760796961571,0.019286034311517142,True
TAIWAN,prob,LIME,M5,12,0.05182380843395367,-0.012996965292375534,0.014850628565374792,0.010537410913158055,True
TAIWAN,logit,SHAP,M1,2,0.20822527014277875,0.16490116149932146,0.030271634486329278,0.431492961303913,True
TAIWAN,logit,SHAP,M1,5,0.32588811437040566,0.02542974639777094,0.05989780022362174,0.3368925654544437,True
TAIWAN,logit,SHAP,M1,7,0.34679904782772064,-0.03494677642453462,0.08619774910697015,0.2634894725943741,True
TAIWAN,logit,SHAP,M1,9,0.35198487037420273,-0.04600182140711695,0.10551053156331182,0.20300148883175642,True
TAIWAN,logit,SHAP,M1,12,0.38569527860358355,-0.005858489666134119,0.16780554900920833,0.12813500745705095,True
TAIWAN,logit,SHAP,M2,2,0.18215297160623595,-0.07049749815231189,-0.023114735614995878,0.2575680680994774,True
