Dataset,Model,Method,Variant,N,N_valid,rho_raw,p_raw,rho_partial,p_partial,rho_partial_linear,p_partial_linear,rho_aleatoric,p_aleatoric,shrinkage_pct,Degenerate,p_partial_FDR,Sig_partial_FDR,p_partial_linear_FDR,Sig_partial_linear_FDR
GMSC,M4,LIME,prob,2000,2000,0.5124355739233681,2.4128307392636175e-134,-0.02700776179245209,0.19693435521492836,-0.08230714595704999,0.00022967695162598025,0.7409154906877725,0.0,94.72953027330398,False,0.3938687104298567,False,0.001715651745006439,True
GMSC,M4,SHAP,logit,2000,2000,0.6211812796973071,8.565929333004304e-214,-0.011128081294539417,0.6411196267910696,-0.01239083841461063,0.5798038055330759,0.8435327625411402,0.0,98.20856138807629,False,0.8242966630170895,False,0.8028052691996436,False
GMSC,M4,LIME,logit,2000,2000,0.5139366150279284,2.9776565736457505e-135,0.000788077698201541,0.9696767744085305,-0.04707435362739855,0.03533023931115715,0.7223619490548143,0.0,99.84665858100834,False,0.9950016661112963,False,0.10599071793347144,False
GMSC,M4,SHAP,norm,2000,1832,0.24301875972208464,4.9122341152318686e-26,0.004526106040588719,0.8537154281906031,-0.00471658511236909,0.84016154400675,0.3375634433532893,4.625613214597114e-50,98.1375487037442,False,0.9630539820059979,False,0.8752962731033388,False
GMSC,M4,LIME,norm,2000,1832,0.40054962238134195,1.493166223480532e-71,0.030396842855424627,0.18993668777074307,0.020953228109782798,0.37021078053573797,0.5328019763812739,7.188576172492655e-135,92.41121669901729,False,0.3938687104298567,False,0.6330870654695798,False
GMSC,M5,SHAP,prob,2000,2000,0.5016318110688116,6.169059897418856e-128,-0.03919734829933707,0.07064311896034656,-0.10207919269995026,4.8062013141105235e-06,0.8767631836977647,0.0,92.18603217849751,False,0.19883372209263578,False,8.651162365398941e-05,True
GMSC,M5,LIME,prob,2000,2000,0.3925390011215195,1.134913299587102e-74,-0.00025357656339414084,0.9940019993335555,-0.12189416927830739,4.57980146498225e-08,0.7412286810188613,0.0,99.93540092508779,False,0.9950016661112963,False,2.4730927910904147e-06,True
GMSC,M5,SHAP,logit,2000,2000,0.4930485917481785,5.2391460132866174e-123,-0.04411996402999101,0.054315228257247584,-0.06552963884356554,0.0033769881276212972,0.8451909179832443,0.0,91.05159921995579,False,0.16294568477174276,False,0.015196446574295837,True
GMSC,M5,LIME,logit,2000,2000,0.4021607147790157,1.2733061903800546e-78,0.019083870270967564,0.4991669443518827,-0.08173050205126026,0.00025417062888984283,0.7242780790298587,0.0,95.25466571704946,False,0.7244953436573773,False,0.001715651745006439,True
GMSC,M5,SHAP,norm,2000,1852,0.19834674577390407,6.945487884224503e-18,-0.0026910539439979337,0.9000333222259247,-0.011635173196894184,0.6168907916696114,0.3489790360454988,3.58082044023317e-54,98.6432578293644,False,0.967089401572025,False,0.824534602183049,False
GMSC,M5,LIME,norm,2000,1852,0.31052213156872127,1.0999442554776001e-42,0.01620817329324583,0.611129623458847,-0.010963077252650293,0.6373817107940674,0.5349283860036038,1.3389707196644454e-137,94.7803484372067,False,0.8242966630170895,False,0.824534602183049,False
