Dataset,Model,Method,Component,USFG_decileZ_NRC,CI95_low,CI95_high,CI_excludes_0,MannWhitney_p,rank_biserial,n_Q1,n_Q4,n_valid,Degenerate,p_FDR,Sig_FDR,floor,MDE,abs_USFG,decision_rule_NB6,Verdict,above_floor,above_MDE
TAIWAN,M5,SHAP,aleatoric,-0.0297652605037597,-0.1635931963588612,0.0966287483581684,False,0.2290760854683067,0.0445731511117885,486,486,1943,False,0.2852645592624196,False,0.045795977204345806,,0.0297652605037597,False,below detection floor - not distinguishable from zero,0.0,0.0
TAIWAN,M5,SHAP,intra,-0.146518524602311,-0.2813790767695357,-0.0134126316815901,True,0.0473572872089253,0.0734898135446832,486,486,1943,False,0.074418594185454,False,0.045795977204345806,,0.146518524602311,False,above floor but below MDE - inconclusive,1.0,0.0
TAIWAN,M5,SHAP,inter,-0.0464226855944312,-0.1685394898940595,0.076134726054633,False,0.6948876568268143,-0.0145387728835373,486,486,1943,False,0.7389958085198961,False,0.045795977204345806,,0.0464226855944312,False,above floor but below MDE - inconclusive,1.0,0.0
TAIWAN,M5,LIME,epistemic,-0.0816888225070312,-0.2168800514684019,0.0372062220398154,False,0.042829955100376,0.075056309166963,486,486,1943,False,0.0689457813810931,False,0.045795977204345806,,0.0816888225070312,False,above floor but below MDE - inconclusive,1.0,0.0
TAIWAN,M5,LIME,aleatoric,-0.0430490328207417,-0.1649376067983642,0.0848656022915555,False,0.0004333714003174,0.1304001761249131,486,486,1943,False,0.0010285795371184,True,0.045795977204345806,,0.0430490328207417,False,below detection floor - not distinguishable from zero,0.0,0.0
TAIWAN,M5,LIME,intra,-0.1103544201526325,-0.2421539861802945,0.0089699770151163,False,0.0178675171747184,0.0877660925671899,486,486,1943,False,0.0310330561455636,True,0.045795977204345806,,0.1103544201526325,False,above floor but below MDE - inconclusive,1.0,0.0
TAIWAN,M5,LIME,inter,-0.0224868449842251,-0.1528663458240347,0.0949910128810808,False,0.1949848730720849,0.0480279090247083,486,486,1943,False,0.2474808004376462,False,0.045795977204345806,,0.0224868449842251,False,below detection floor - not distinguishable from zero,0.0,0.0
GMSC,M2,SHAP,epistemic,,,,False,,,1816,1816,1816,True,,False,0.04524473027120841,0.2468504904465786,,False,N/A - component is structurally zero,,
GMSC,M2,SHAP,aleatoric,-0.0247170816507794,-0.1500717917101413,0.109191192518519,False,4.159453335537738e-12,0.2657726716994314,454,454,1816,False,2.4956720013226424e-11,True,0.04524473027120841,0.2468504904465786,0.0247170816507794,False,below detection floor - not distinguishable from zero,0.0,0.0
GMSC,M2,SHAP,intra,,,,False,,,1816,1816,1816,True,,False,0.04524473027120841,0.2468504904465786,,False,N/A - component is structurally zero,,
GMSC,M2,SHAP,inter,,,,False,,,1816,1816,1816,True,,False,0.04524473027120841,0.2468504904465786,,False,N/A - component is structurally zero,,
GMSC,M2,LIME,epistemic,,,,False,,,1816,1816,1816,True,,False,0.04524473027120841,0.2468504904465786,,False,N/A - component is structurally zero,,
GMSC,M2,LIME,aleatoric,-0.0102737955661333,-0.127289223461298,0.1116807241185934,False,3.3208673563168005e-23,0.3792233499582759,454,454,1816,False,3.6529540919484797e-22,True,0.04524473027120841,0.2468504904465786,0.0102737955661333,False,below detection floor - not distinguishable from zero,0.0,0.0
GMSC,M2,LIME,intra,,,,False,,,1816,1816,1816,True,,False,0.04524473027120841,0.2468504904465786,,False,N/A - component is structurally zero,,
GMSC,M2,LIME,inter,,,,False,,,1816,1816,1816,True,,False,0.04524473027120841,0.2468504904465786,,False,N/A - component is structurally zero,,
GMSC,M3,SHAP,epistemic,-0.0064650648060459,-0.1180253461666273,0.0996466280975831,False,1.6835157756855777e-05,0.1649944691338858,454,454,1816,False,5.922817138722302e-05,True,0.04524473027120841,0.2468504904465786,0.0064650648060459,False,below detection floor - not distinguishable from zero,0.0,0.0
GMSC,M3,SHAP,aleatoric,0.0113620437543337,-0.1100419536315997,0.1405572772381091,False,2.102965018590405e-10,0.2436103941469851,454,454,1816,False,1.1566307602247227e-09,True,0.04524473027120841,0.2468504904465786,0.0113620437543337,False,below detection floor - not distinguishable from zero,0.0,0.0
GMSC,M3,SHAP,intra,-0.0064650648060459,-0.1180253461666273,0.0996466280975831,False,1.6835157756855777e-05,0.1649944691338858,454,454,1816,False,5.922817138722302e-05,True,0.04524473027120841,0.2468504904465786,0.0064650648060459,False,below detection floor - not distinguishable from zero,0.0,0.0
GMSC,M3,SHAP,inter,,,,False,,,1816,1816,1816,True,,False,0.04524473027120841,0.2468504904465786,,False,N/A - component is structurally zero,,
GMSC,M3,LIME,epistemic,-0.0853090007621125,-0.1924985077132225,0.0244945747450686,False,2.6597651760573385e-27,0.4140678064779056,454,454,1816,False,5.851483387326145e-26,True,0.04524473027120841,0.2468504904465786,0.0853090007621125,False,above floor but below MDE - inconclusive,1.0,0.0
GMSC,M3,LIME,aleatoric,-0.0276359821727276,-0.1467877255050935,0.1021827573819312,False,1.8975842105014824e-25,0.398435832249801,454,454,1816,False,3.1310139473274464e-24,True,0.04524473027120841,0.2468504904465786,0.0276359821727276,False,below detection floor - not distinguishable from zero,0.0,0.0
GMSC,M3,LIME,intra,-0.0853090007621125,-0.1924985077132225,0.0244945747450686,False,2.6597651760573385e-27,0.4140678064779056,454,454,1816,False,5.851483387326145e-26,True,0.04524473027120841,0.2468504904465786,0.0853090007621125,False,above floor but below MDE - inconclusive,1.0,0.0
GMSC,M3,LIME,inter,,,,False,,,1816,1816,1816,True,,False,0.04524473027120841,0.2468504904465786,,False,N/A - component is structurally zero,,
GMSC,M4,SHAP,epistemic,-0.0083540647201532,-0.1424347075093496,0.1246399612850158,False,0.1314939188251674,0.0575789935355923,458,458,1832,False,0.1808041383846051,False,0.04524473027120841,0.2468504904465786,0.0083540647201532,False,below detection floor - not distinguishable from zero,0.0,0.0
GMSC,M4,SHAP,aleatoric,-0.0286898125540899,-0.1580328405059206,0.104085054481807,False,0.0189397241874763,0.0895863923266147,458,458,1832,False,0.0320518409326523,True,0.04524473027120841,0.2468504904465786,0.0286898125540899,False,below detection floor - not distinguishable from zero,0.0,0.0
GMSC,M4,SHAP,intra,,,,False,,,1832,1832,1832,True,,False,0.04524473027120841,0.2468504904465786,,False,N/A - component is structurally zero,,
GMSC,M4,SHAP,inter,-0.0083540647201532,-0.1424347075093496,0.1246399612850158,False,0.1314939188251674,0.0575789935355923,458,458,1832,False,0.1808041383846051,False,0.04524473027120841,0.2468504904465786,0.0083540647201532,False,below detection floor - not distinguishable from zero,0.0,0.0
GMSC,M4,LIME,epistemic,-0.0958869237243471,-0.2376627425079006,0.0328665215573691,False,2.2306270865851902e-15,0.3019297877614844,458,458,1832,False,1.635793196829139e-14,True,0.04524473027120841,0.2468504904465786,0.0958869237243471,False,above floor but below MDE - inconclusive,1.0,0.0
GMSC,M4,LIME,aleatoric,-0.011005417110246,-0.1338168662363693,0.1051485871450191,False,2.3647132062193228e-12,0.2666520470624129,458,458,1832,False,1.560710716104753e-11,True,0.04524473027120841,0.2468504904465786,0.011005417110246,False,below detection floor - not distinguishable from zero,0.0,0.0
GMSC,M4,LIME,intra,,,,False,,,1832,1832,1832,True,,False,0.04524473027120841,0.2468504904465786,,False,N/A - component is structurally zero,,
GMSC,M4,LIME,inter,-0.0958869237243471,-0.2376627425079006,0.0328665215573691,False,2.2306270865851902e-15,0.3019297877614844,458,458,1832,False,1.635793196829139e-14,True,0.04524473027120841,0.2468504904465786,0.0958869237243471,False,above floor but below MDE - inconclusive,1.0,0.0
GMSC,M5,SHAP,epistemic,-0.008230270006301,-0.1503441761037562,0.1289031907578748,False,0.1096006355454683,0.0607503883490616,463,463,1852,False,0.1572530857826285,False,0.04524473027120841,0.2468504904465786,0.008230270006301,False,below detection floor - not distinguishable from zero,0.0,0.0
GMSC,M5,SHAP,aleatoric,-0.0321057631157474,-0.1716067650835712,0.0970237280499517,False,0.0003043251841899,0.1371233713829891,463,463,1852,False,0.0007725177752514,True,0.04524473027120841,0.2468504904465786,0.0321057631157474,False,below detection floor - not distinguishable from zero,0.0,0.0
GMSC,M5,SHAP,intra,-0.0567885073868406,-0.2029683923990992,0.0791858135702307,False,0.0386288484251173,0.0785234805405632,463,463,1852,False,0.0637375999014436,False,0.04524473027120841,0.2468504904465786,0.0567885073868406,False,above floor but below MDE - inconclusive,1.0,0.0
GMSC,M5,SHAP,inter,0.1187585046513738,-0.0100930398082322,0.274418755880363,False,0.885111108454022,-0.0054905326796319,463,463,1852,False,0.885111108454022,False,0.04524473027120841,0.2468504904465786,0.1187585046513738,False,above floor but below MDE - inconclusive,1.0,0.0
GMSC,M5,LIME,epistemic,-0.1121504938641776,-0.2723716336122494,0.0276534240262905,False,2.267677369553756e-19,0.3411314135905844,463,463,1852,False,2.138095805579255e-18,True,0.04524473027120841,0.2468504904465786,0.1121504938641776,False,above floor but below MDE - inconclusive,1.0,0.0
GMSC,M5,LIME,aleatoric,-0.038295549924158,-0.1585192722062332,0.082655580366806,False,3.107528903037068e-33,0.4543614048673082,463,463,1852,False,2.050969076004465e-31,True,0.04524473027120841,0.2468504904465786,0.038295549924158,False,below detection floor - not distinguishable from zero,0.0,0.0
GMSC,M5,LIME,intra,-0.0713210009174658,-0.2128520164127302,0.0662819662189752,False,8.870221597958428e-24,0.3810812197659177,463,463,1852,False,1.1708692509305123e-22,True,0.04524473027120841,0.2468504904465786,0.0713210009174658,False,above floor but below MDE - inconclusive,1.0,0.0
GMSC,M5,LIME,inter,0.0310586273694038,-0.1044367530105126,0.1809561580185992,False,0.1486995259692984,0.0547887054564792,463,463,1852,False,0.1924346806661508,False,0.04524473027120841,0.2468504904465786,0.0310586273694038,False,below detection floor - not distinguishable from zero,0.0,0.0
